,net_number,accuracy,acc_motion,acc_color,index_max_motion,index_max_color,color_info_flows,motion_info_flows
33,33,0.8053,0.7343,0.851,3,0,"[[0.06718848, 0.05497545, 0.02657589, 0.05159996], [0.11911871, 0.01678628, 0.01332946, 0.01757445], [0.15622779, 0.01193643, 0.00611974, 0.01408272], [0.19719097, 0.01005677, 0.00547517, 0.01526399], [0.22310766, 0.01320831, 0.01436137, 0.02535755], [0.25409164, 0.01476913, 0.02910288, 0.04502203], [0.26653136, 0.01357248, 0.03965489, 0.05493718], [0.28573732, 0.02465513, 0.05921954, 0.07605056], [0.30658745, 0.02515599, 0.07281955, 0.09201917], [0.31232342, 0.0268699, 0.01397003, 0.05558745]]","[[0.00897272, 0.06301275, 0.05094751, 0.06415195], [0.00652959, 0.10973347, 0.10006925, 0.11573138], [0.01168161, 0.15664014, 0.14903308, 0.15266932], [0.0166529, 0.18545188, 0.18545188, 0.19083817], [0.03114598, 0.21841411, 0.21617482, 0.22680127], [0.04943271, 0.23396569, 0.24715553, 0.25014627], [0.06678117, 0.25321594, 0.25189457, 0.26901223], [0.08130835, 0.26501735, 0.25445858, 0.26892271], [0.09073033, 0.27700797, 0.24763059, 0.25860177], [0.11396747, 0.17166184, 0.1408806, 0.23064251]]"
34,34,0.7687,0.7101,0.8508,3,0,"[[0.05690256, 0.04188738, 0.06504203, 0.01831401], [0.11761173, 0.07205837, 0.10694201, 0.02215444], [0.16772145, 0.1054462, 0.15089298, 0.01906192], [0.20612574, 0.14210671, 0.18359568, 0.03556512], [0.22908266, 0.17153248, 0.20617464, 0.04345669], [0.25421647, 0.20463084, 0.23552124, 0.05353434], [0.26917863, 0.22849191, 0.26102176, 0.06301723], [0.2815493, 0.24849028, 0.27810847, 0.07456002], [0.28838993, 0.25140538, 0.29437636, 0.08231231], [0.29936606, 0.13650203, 0.25686355, 0.02852052]]","[[0.02142196, 0.0272349, 0.03724011, 0.05583177], [0.02186964, 0.03595726, 0.05653821, 0.09695371], [0.02767657, 0.04436442, 0.06253283, 0.11417217], [0.02633858, 0.048791, 0.05331263, 0.13281021], [0.03718165, 0.05235029, 0.04941302, 0.14902555], [0.05662516, 0.0629983, 0.04681384, 0.1510702], [0.06135679, 0.06802757, 0.04763833, 0.16038896], [0.07106001, 0.07337871, 0.06019162, 0.15398095], [0.08093917, 0.08194432, 0.05819605, 0.15582218], [0.07189664, 0.06783647, 0.04006147, 0.14343396]]"
35,35,0.8245,0.7555,0.8466,1,0,"[[0.06025075, 0.04747711, 0.05990591, 0.01538894], [0.11493532, 0.0411924, 0.03428617, 0.02807569], [0.15516104, 0.04091354, 0.03763959, 0.03428263], [0.18143418, 0.05306708, 0.05696301, 0.03381193], [0.22306045, 0.06055554, 0.07986923, 0.04216254], [0.24521494, 0.06661355, 0.08968767, 0.04142906], [0.24608608, 0.05800107, 0.07529947, 0.02583091], [0.26479757, 0.0564032, 0.07717193, 0.02412183], [0.27695762, 0.05629538, 0.06675489, 0.02259661], [0.1986631, 0.00171164, 0.0541059, 0.01269676]]","[[0.02584738, 0.06231309, 0.05208213, 0.00847468], [0.01128989, 0.11277358, 0.05855516, 0.00500831], [0.01490311, 0.14880762, 0.09442634, 0.00991852], [0.017308, 0.18525354, 0.12839442, 0.0131999], [0.02390363, 0.22831729, 0.157897, 0.013394], [0.01922751, 0.26043308, 0.17189451, 0.01621918], [0.02071682, 0.28188822, 0.18337734, 0.01841887], [0.02104772, 0.31060597, 0.18967424, 0.01972878], [0.019825, 0.31883036, 0.19593243, 0.02625516], [0.04276188, 0.27956424, 0.09957626, 0.02946035]]"
36,36,0.7554,0.6992,0.845,3,0,"[[0.06170837, 0.01911364, 0.0324887, 0.0221139], [0.07730212, 0.01822159, 0.02302936, 0.01200006], [0.09036936, 0.01426641, 0.02586773, 0.0286414], [0.09902159, 0.01027378, 0.02658958, 0.04424942], [0.10170018, 0.00864451, 0.0286414, 0.06077284], [0.10475967, 0.01022369, 0.02910793, 0.06363133], [0.11208949, 0.01212422, 0.03398525, 0.07672062], [0.11471253, 0.00806387, 0.03552388, 0.08143773], [0.11907613, 0.00984068, 0.037563, 0.09089773], [0.11968921, 0.01187475, 0.03285417, 0.0952926]]","[[0.02553093, 0.01383987, 0.03803934, 0.05983525], [0.02020812, 0.02304474, 0.0627797, 0.05451866], [0.01625553, 0.02792407, 0.06738989, 0.06325124], [0.02258674, 0.02835429, 0.08394099, 0.07346923], [0.03310383, 0.02617352, 0.0900726, 0.07847208], [0.04690251, 0.02638033, 0.1014051, 0.09281352], [0.05773263, 0.03401476, 0.11186822, 0.09627221], [0.06909664, 0.03595164, 0.10762973, 0.10113896], [0.07323138, 0.03133837, 0.10949117, 0.11161525], [0.08529673, 0.02855995, 0.1092108, 0.11471253]]"
37,37,0.8488,0.7696,0.85,1,0,"[[0.0530438, 0.02464006, 0.0174504, 0.06583197], [0.10096063, 0.0475106, 0.03832166, 0.07643074], [0.12603504, 0.0561823, 0.05298522, 0.08983388], [0.15521092, 0.06233744, 0.05162721, 0.10012129], [0.19177918, 0.08426811, 0.0686289, 0.11349953], [0.21964366, 0.09271824, 0.0747601, 0.12478052], [0.23605653, 0.09805354, 0.08995824, 0.13076901], [0.24951445, 0.13033144, 0.10361329, 0.15474589], [0.26895638, 0.15224399, 0.12927003, 0.17429035], [0.25093032, 0.07930512, 0.07866639, 0.14913826]]","[[0.04589462, 0.0652963, 0.06973894, 0.03628581], [0.08032948, 0.13232347, 0.12922322, 0.05617076], [0.11551013, 0.16229451, 0.17919599, 0.09705966], [0.12304386, 0.17720246, 0.20998431, 0.12804921], [0.13583808, 0.21354421, 0.24202972, 0.15796411], [0.12869184, 0.24092959, 0.26681736, 0.1805165], [0.12457696, 0.26177934, 0.2705367, 0.20919224], [0.1202804, 0.28243336, 0.28088076, 0.23413204], [0.11983337, 0.29899669, 0.28492425, 0.24467995], [0.11866961, 0.26039193, 0.15127175, 0.23867568]]"
38,38,0.7443,0.6953,0.8414,3,0,"[[0.06124846, 0.02251262, 0.04427014, 0.02071789], [0.07131181, 0.02681372, 0.03762975, 0.00966121], [0.08900327, 0.0227186, 0.03877383, 0.02928387], [0.10203771, 0.01726545, 0.04519828, 0.04381499], [0.10464548, 0.0158156, 0.04534518, 0.06197715], [0.10752035, 0.01402278, 0.05111029, 0.07394271], [0.11256396, 0.01629174, 0.04871563, 0.08213811], [0.12215878, 0.01322601, 0.04833496, 0.08931754], [0.122656, 0.01690806, 0.06284493, 0.09924334], [0.12858147, 0.01708628, 0.06258393, 0.10786817]]","[[0.0290837, 0.0092991, 0.0314774, 0.05796894], [0.01181896, 0.02814382, 0.05800149, 0.05413409], [0.01905104, 0.02317465, 0.05591669, 0.06845767], [0.02261549, 0.02239345, 0.06392251, 0.06521951], [0.03507151, 0.01654414, 0.06741324, 0.07499004], [0.04295276, 0.01715667, 0.06866229, 0.08415674], [0.05189548, 0.01773535, 0.07580153, 0.08816812], [0.0631065, 0.01626042, 0.07405215, 0.09377943], [0.07262098, 0.01458256, 0.07147961, 0.09780674], [0.07808106, 0.01482616, 0.06987084, 0.10316716]]"
39,39,0.8368,0.7563,0.8429,1,0,"[[0.04400241, 0.01689206, 0.0139918, 0.0522904], [0.08389953, 0.03816837, 0.03588392, 0.07935566], [0.12788281, 0.06231699, 0.0575801, 0.09441994], [0.15380546, 0.05972685, 0.05209746, 0.11217676], [0.19105243, 0.06157618, 0.05820315, 0.12307241], [0.21679485, 0.07752127, 0.06646027, 0.13139718], [0.24581138, 0.09699256, 0.08021692, 0.13990089], [0.25953192, 0.11879989, 0.08046587, 0.14797943], [0.28759633, 0.14076254, 0.09538873, 0.1663245], [0.27390492, 0.07902634, 0.07327211, 0.12965397]]","[[0.04459211, 0.06413741, 0.0680726, 0.03775903], [0.05965538, 0.10068456, 0.09937203, 0.05015891], [0.07945073, 0.13591256, 0.15402187, 0.07506839], [0.10154198, 0.17783686, 0.18888041, 0.10601663], [0.12138109, 0.21599235, 0.2343923, 0.14176983], [0.12054287, 0.24502876, 0.25851726, 0.16809351], [0.11318155, 0.2730011, 0.28108207, 0.17912675], [0.11040991, 0.2990776, 0.28007642, 0.19483101], [0.10794594, 0.30990179, 0.29064657, 0.21121802], [0.09813421, 0.27267341, 0.15134367, 0.21343522]]"
40,40,0.7669,0.7093,0.8452,3,0,"[[0.04795153, 0.0435266, 0.04417419, 0.00956337], [0.07701108, 0.05907379, 0.04007335, 0.00585083], [0.10013299, 0.06197715, 0.04505163, 0.02184975], [0.11688323, 0.06433466, 0.0529255, 0.03890958], [0.13063375, 0.07159129, 0.05372499, 0.05890526], [0.13942295, 0.06593194, 0.05340445, 0.06983095], [0.14454919, 0.05815002, 0.05025376, 0.08889865], [0.14701342, 0.04994415, 0.0498669, 0.10294073], [0.15454617, 0.05739985, 0.05898949, 0.10705754], [0.16170997, 0.05332447, 0.06293206, 0.11919861]]","[[0.01191519, 0.02853458, 0.04055972, 0.07051657], [0.00707896, 0.05108239, 0.07315056, 0.05907379], [0.02692841, 0.06443679, 0.09375516, 0.07928371], [0.02974159, 0.06723109, 0.09824577, 0.08119381], [0.04038462, 0.07259735, 0.10724265, 0.08757864], [0.04454968, 0.07992331, 0.10728069, 0.09086001], [0.04950984, 0.07459413, 0.11279483, 0.0983427], [0.05764862, 0.06743096, 0.11459187, 0.08848009], [0.06163108, 0.06673916, 0.10407483, 0.09758601], [0.06700749, 0.05056166, 0.09302698, 0.09857817]]"
41,41,0.8467,0.7731,0.8464,1,0,"[[0.05653708, 0.02168392, 0.01830514, 0.07088231], [0.09498048, 0.03692673, 0.03811602, 0.1013842], [0.13052888, 0.04471791, 0.05029761, 0.13719396], [0.17050859, 0.06359004, 0.08051176, 0.15102232], [0.20249767, 0.08092627, 0.09629531, 0.15894355], [0.23516465, 0.09692693, 0.12430827, 0.17794394], [0.26466115, 0.1164081, 0.12953661, 0.18751271], [0.28612758, 0.13656051, 0.13761708, 0.19266965], [0.30735353, 0.15489321, 0.14797673, 0.20806144], [0.28750228, 0.09929971, 0.07879614, 0.17180021]]","[[0.04520032, 0.06589228, 0.07137289, 0.03572398], [0.08587777, 0.11664095, 0.12116764, 0.07934584], [0.10587011, 0.15610653, 0.16316473, 0.11801773], [0.11821397, 0.18729852, 0.19771892, 0.14920103], [0.12864159, 0.2214661, 0.22426178, 0.18376076], [0.12875961, 0.2468445, 0.23910278, 0.21075181], [0.12217494, 0.26694309, 0.24776226, 0.234213], [0.11486262, 0.30002348, 0.25282187, 0.26039566], [0.11290547, 0.32019009, 0.25338791, 0.27354562], [0.0896544, 0.28556555, 0.14055187, 0.26736341]]"
42,42,0.7494,0.6956,0.8442,3,0,"[[0.0465483, 0.02346501, 0.04197098, 0.02642159], [0.07925723, 0.02488494, 0.02737827, 0.00341715], [0.09747682, 0.01826777, 0.0264221, 0.01873284], [0.10407555, 0.01713099, 0.02754881, 0.03373221], [0.11303951, 0.01817547, 0.03379538, 0.04505163], [0.12253159, 0.01455331, 0.02670153, 0.05932704], [0.12315433, 0.01779119, 0.03285417, 0.07112581], [0.12896491, 0.01776303, 0.03310383, 0.07546866], [0.13492322, 0.02128394, 0.0349428, 0.08193768], [0.1336153, 0.01717575, 0.03481434, 0.09442634]]","[[0.02599413, 0.01692065, 0.04340345, 0.05878601], [0.01818457, 0.03398072, 0.08307158, 0.05407862], [0.01619975, 0.03250903, 0.08580438, 0.07642044], [0.02278085, 0.03421714, 0.08988475, 0.08681995], [0.02822294, 0.04318766, 0.10453456, 0.09005312], [0.03995157, 0.03712606, 0.11105881, 0.09540118], [0.05311853, 0.03982001, 0.105974, 0.09968763], [0.05953607, 0.03746723, 0.10543133, 0.10831969], [0.06634786, 0.04091261, 0.11182125, 0.11292052], [0.07269342, 0.03438436, 0.1130787, 0.1143529]]"
43,43,0.8454,0.7631,0.8491,3,0,"[[0.04298477, 0.00982379, 0.00652521, 0.04519828], [0.08872012, 0.02461704, 0.01944245, 0.08033664], [0.12065061, 0.02742297, 0.01870162, 0.10083481], [0.14556618, 0.03133234, 0.0243266, 0.11689801], [0.18229625, 0.0371687, 0.03323859, 0.13224581], [0.20039294, 0.05197203, 0.04457148, 0.14177983], [0.23564634, 0.07229211, 0.06803109, 0.17351735], [0.2643231, 0.09926019, 0.09216874, 0.19817855], [0.28428767, 0.11082809, 0.09794502, 0.2101253], [0.29192849, 0.07214595, 0.04983402, 0.21232652]]","[[0.03431589, 0.05845445, 0.06575345, 0.02938306], [0.06239516, 0.10200324, 0.11824238, 0.05351218], [0.08653216, 0.14137529, 0.15867889, 0.08219394], [0.12002455, 0.17997949, 0.19869736, 0.12431219], [0.1373223, 0.20831856, 0.23223724, 0.15604858], [0.16181503, 0.23965935, 0.25000327, 0.1945967], [0.17405585, 0.26253429, 0.26779303, 0.21673138], [0.18519534, 0.28805564, 0.26955482, 0.24001375], [0.18959851, 0.299338, 0.27707303, 0.24933468], [0.18381351, 0.24223189, 0.19542981, 0.24916571]]"
44,44,0.7556,0.7004,0.8464,3,0,"[[0.04309585, 0.04841097, 0.06637928, 0.02240998], [0.10125107, 0.07945416, 0.11567455, 0.0274919], [0.15229225, 0.11370952, 0.1588225, 0.02946113], [0.2013203, 0.15127661, 0.20082697, 0.0285805], [0.21576568, 0.17701328, 0.20941714, 0.03138127], [0.25882648, 0.21166248, 0.25009745, 0.04467554], [0.27706888, 0.23818837, 0.28148081, 0.05152461], [0.28915876, 0.2524329, 0.28501783, 0.06023039], [0.29519344, 0.24339841, 0.29457076, 0.06845672], [0.30294231, 0.12883703, 0.26564946, 0.03816595]]","[[0.0154786, 0.03841383, 0.0454354, 0.0657456], [0.01793464, 0.04502503, 0.05889029, 0.09589175], [0.02009124, 0.04849798, 0.05715389, 0.115386], [0.02310409, 0.05703852, 0.05784141, 0.13553319], [0.03802148, 0.05550163, 0.0710133, 0.14513447], [0.05106904, 0.0621921, 0.07057386, 0.15591372], [0.06598573, 0.07662543, 0.06832945, 0.16222139], [0.07738496, 0.08657567, 0.06095988, 0.15170903], [0.09375292, 0.10389397, 0.06555951, 0.15294296], [0.05762589, 0.05889042, 0.03399721, 0.14616376]]"
45,45,0.8334,0.7516,0.8466,1,0,"[[0.05438588, 0.03210383, 0.02217094, 0.06323764], [0.1047594, 0.02525322, 0.02588832, 0.06193056], [0.14779793, 0.03242005, 0.01977936, 0.05578791], [0.1856736, 0.03201215, 0.02381833, 0.06246349], [0.21701637, 0.04349486, 0.03313975, 0.06194183], [0.24290684, 0.06148622, 0.04361541, 0.06777515], [0.25087125, 0.08071001, 0.05353825, 0.08220606], [0.27707722, 0.11525716, 0.07014801, 0.10940937], [0.29608378, 0.13051922, 0.07083552, 0.11791212], [0.30779319, 0.04835392, 0.05552829, 0.06099874]]","[[0.02843261, 0.06042802, 0.06345614, 0.03703176], [0.01404533, 0.11907618, 0.10113896, 0.01081695], [0.02196229, 0.16210627, 0.15610653, 0.02286829], [0.03882692, 0.20161401, 0.18983324, 0.05410813], [0.04432977, 0.2280978, 0.2169675, 0.09178296], [0.04109309, 0.2534365, 0.22338589, 0.12917729], [0.04075695, 0.2691957, 0.2223375, 0.15612078], [0.04817234, 0.28655013, 0.23170034, 0.17590086], [0.05950071, 0.29991908, 0.23475264, 0.19253455], [0.03990979, 0.24321027, 0.14359012, 0.19158729]]"
46,46,0.7549,0.7006,0.8425,3,0,"[[0.03029109, 0.04153532, 0.05915814, 0.02504739], [0.07233939, 0.06363133, 0.10305391, 0.03608368], [0.12166266, 0.08733716, 0.14414074, 0.04146509], [0.1588225, 0.10396177, 0.17643912, 0.03155933], [0.20247416, 0.12419559, 0.20396336, 0.04272309], [0.22725514, 0.14655728, 0.22059672, 0.04111488], [0.25889973, 0.16517764, 0.24832136, 0.03939906], [0.26857516, 0.19547505, 0.25699087, 0.05299504], [0.2929144, 0.20900604, 0.26955482, 0.05136249], [0.29188218, 0.11031993, 0.20263931, 0.00632945]]","[[0.03733413, 0.03954722, 0.04071001, 0.05472458], [0.05020523, 0.08304698, 0.08350626, 0.10647189], [0.03928981, 0.106825, 0.0989109, 0.14501499], [0.03317932, 0.12289543, 0.10882964, 0.18189826], [0.02557793, 0.12843465, 0.10241148, 0.20292696], [0.03275473, 0.14528867, 0.1158353, 0.21464388], [0.03819699, 0.14237718, 0.11090962, 0.24587794], [0.05550193, 0.15354443, 0.1234123, 0.26172725], [0.07221053, 0.1584237, 0.13209309, 0.27747458], [0.04915082, 0.08626708, 0.07268034, 0.25271839]]"
47,47,0.8572,0.7792,0.8476,1,0,"[[0.05129784, 0.02829069, 0.01230901, 0.0642283], [0.08398171, 0.04686703, 0.03501842, 0.05141055], [0.11588975, 0.06907581, 0.04917916, 0.04576925], [0.14279369, 0.08408368, 0.04784742, 0.04667138], [0.17174208, 0.09764586, 0.059289, 0.05175713], [0.19257698, 0.10252626, 0.06561479, 0.05658036], [0.21743627, 0.1182543, 0.07684922, 0.07270472], [0.22991718, 0.12277618, 0.08350739, 0.07981133], [0.25570741, 0.13405674, 0.07892808, 0.08236658], [0.21751352, 0.05950903, 0.0646227, 0.10487816]]","[[0.02346034, 0.05898949, 0.05958086, 0.01586319], [0.05445886, 0.1006912, 0.08793439, 0.03087693], [0.07793113, 0.1426486, 0.14076199, 0.05629999], [0.0806539, 0.17996614, 0.18556731, 0.078117], [0.08592778, 0.21082871, 0.21354421, 0.10892364], [0.07446868, 0.24590414, 0.23223724, 0.13906565], [0.06620016, 0.25832616, 0.24590414, 0.17054953], [0.07470363, 0.28512738, 0.2522566, 0.19094837], [0.07945416, 0.30125597, 0.25319914, 0.21748377], [0.08620144, 0.25563419, 0.06893338, 0.21490966]]"
48,48,0.7423,0.6841,0.8394,2,0,"[[0.03295805, 0.03350448, 0.01189105, 0.0168439], [0.04795584, 0.05253445, 0.01417425, 0.00981294], [0.0703464, 0.07635947, 0.02205438, 0.0152572], [0.08734482, 0.09160661, 0.02737238, 0.01901423], [0.11157412, 0.11801902, 0.03685944, 0.02763406], [0.12555339, 0.13250823, 0.03503653, 0.02203036], [0.14543766, 0.15073334, 0.03827801, 0.03273478], [0.16911222, 0.1740704, 0.04387257, 0.03273546], [0.18782916, 0.19950765, 0.05421785, 0.04258817], [0.20286896, 0.19699323, 0.07158525, 0.02525735]]","[[0.01757535, 0.02647786, 0.01228869, 0.02306335], [0.02365733, 0.03565367, 0.02636639, 0.02477694], [0.0375639, 0.04661539, 0.03656276, 0.02957831], [0.04822349, 0.05316554, 0.04350249, 0.03106233], [0.06170098, 0.05871023, 0.05536098, 0.03285417], [0.07424503, 0.06895765, 0.07030278, 0.04262889], [0.08133049, 0.07286018, 0.08463956, 0.06173927], [0.08696393, 0.07997971, 0.09998944, 0.06134773], [0.11038542, 0.09310488, 0.10415918, 0.07556462], [0.10437601, 0.07877898, 0.11707885, 0.05716561]]"
49,49,0.8405,0.7654,0.8447,3,3,"[[0.05797578, 0.05346547, 0.015816, 0.03468244], [0.10057942, 0.07611116, 0.00403974, 0.02267281], [0.14468548, 0.11104954, 0.00704489, 0.03708961], [0.17628668, 0.12767527, 0.00553655, 0.03058736], [0.19951487, 0.14303862, 0.0053784, 0.03913379], [0.22216306, 0.14873434, 0.00849213, 0.0453498], [0.23583566, 0.16069309, 0.00467176, 0.05054898], [0.24926214, 0.17808514, 0.01157533, 0.06858593], [0.25435038, 0.186866, 0.00576529, 0.07578666], [0.07237868, 0.0652983, 0.00479875, 0.10548717]]","[[0.02119611, 0.03622741, 0.03730955, 0.06904316], [0.04648448, 0.0199261, 0.01267551, 0.11805796], [0.04888681, 0.03359785, 0.01260777, 0.14748085], [0.06654171, 0.04050873, 0.01223797, 0.18448315], [0.07641982, 0.05470016, 0.01143745, 0.20890155], [0.08103554, 0.06521727, 0.01138235, 0.23135009], [0.09112402, 0.07619446, 0.00805535, 0.25338534], [0.1035809, 0.09083499, 0.00707456, 0.27817336], [0.1001147, 0.09845014, 0.00560252, 0.28266722], [0.01305531, 0.01829615, 0.00723551, 0.2017334]]"
